distance,integrated_intensity_Pa_mm
3835.0,58.66670440482694
3840.0,57.02199975636944
3845.0,54.93704004072808
3850.0,53.59521602567896
3855.0,52.5483609699388
3860.0,51.407277827241636
3865.0,50.27123082714263
3870.0,49.90546059740586
3875.0,50.11896181101132
3880.0,50.664633428815286
3885.0,51.42094563235705
3890.0,52.509291187085864
3895.0,53.400747411366865
3900.0,53.863163592563964
3905.0,53.885546387091985
3910.0,53.814610062146
3915.0,53.53547018526554
3920.0,53.404565314699305
3925.0,53.06993949588558
3930.0,52.422389523458754
3935.0,51.617200164925585
3940.0,50.90632865667569
3945.0,50.63347962724547
3950.0,50.45954835919623
3955.0,50.28448115144591
3960.0,50.01306501424413
3965.0,49.59121894849471
3970.0,49.221346009092535
3975.0,49.399308784825706
3980.0,50.77777458146111
3985.0,52.627593815909684
3990.0,54.6584296832433
